study_id,reference,title,year,location,domain,intervention_category,intervention_technique,type_experiment,population,control_group_scenario_prompt,intervention_group_scenario_prompt,response_instruction,response_options,note,n_study,n_comparison,n_control,n_intervention,binary_outcome,mean_control,sd_control,mean_intervention,sd_intervention,cohens_d,variance_d,approximation,ci_lower,ci_upper
Hedlin_1,Hedlin & Sunstein (2016),Does active choosing promote green energy use? Experimental evidence,2016,1,environment,structure,default,artefactual_field,1.0,"Assume that the government in your state has decided to offer all households the option of enrolling in a new 'green' energy program, which means that you would get energy from a new provider that is more environmentally friendly than your current one. If you wish to join the program you can choose to opt in, or else you will keep your current energy provider. ","Assume that the government in your state let you to choose between two types of energy providers. You can choose either a new 'green' energy provider, which means that you will get energy from a new provider that is more environmentally friendly than your previous one, or some other, less environmentally friendly energy provider, including the one that you used to have.",Will you join the green energy program or keep your current energy provider?,"Join the green energy program (1), Keep your current energy provider (0)","The reported mean is the proportion of participants in each group who chose the green energy program (i.e., the mean equals the percentage of participants answering “join the green energy program,” with 1 = Yes, 0 = No).",1037,1037,345,346,1,0.69,,0.82,,0.3047,0.0059,1,0.1541523097417455,0.4552476902582545
Hedlin_2,Hedlin & Sunstein (2016),Does active choosing promote green energy use? Experimental evidence,2016,1,environment,structure,default,artefactual_field,1.0,"Assume that the government in your state has decided to offer all households the option of enrolling in a new 'green' energy program, which means that you would get energy from a new provider that is more environmentally friendly than your current one. If you wish to join the program you can choose to opt in, or else you will keep your current energy provider. ","Assume that the government in your state has decided to automatically enroll all households in a new 'green' energy program, which means that you now get energy from a new provider that is more environmentally friendly than your previous one. If you do not wish to stay in the program you can choose to opt out and then choose any energy provider that you wish. ",Will you join the green energy program or keep your current energy provider?,"Join the green energy program (1), Keep your current energy provider (0)","The reported mean is the proportion of participants in each group who chose the green energy program (i.e., the mean equals the percentage of participants answering “join the green energy program,” with 1 = Yes, 0 = No).",1037,1037,345,346,1,0.69,,0.76,,0.1571,0.0058,1,0.0078335899807799,0.30636641001922
Hershfield_1,Hershfield et al. (2014),National differences in environmental concern and performance are predicted by country age,2014,1,environment,information,translation,artefactual_field,1.0,"You are an American. You are shown a timeline that depicts the beginning of the Roman Empire (27 BC) on the left and “Now” on the right. On this timeline, the founding of the United States is marked near the right end, suggesting that the U.S. has a relatively short, recent history. After viewing this timeline, you are asked to consider how national issues involve trade-offs between short-term and long-term priorities.","You are an American. You are shown a timeline that begins with Christopher Columbus sailing from Spain (1492) on the left and ends with “Now” on the right. On this timeline, the founding of the United States is marked near the left end, suggesting that the U.S. has a long, established history. After viewing this timeline, you are asked to consider how national issues involve trade-offs between short-term and long-term priorities. Reflecting on this deep history, consider the responsibility to protect the environment and preserve this land for future generations. National issues often require balancing short-term gains with long-term stewardship and care.","After viewing the timeline and considering short-term vs. long-term national priorities, you are told that you could win a $50 bonus. You are then given the option to donate any amount of this potential bonus to an environmental organization, Environment America. How much of your potential $50 bonus would you like to donate to Environment America?",Any whole dollar amount from $0 to $50.,"The reported mean in the meta-analysis (mean_control = 9.84, mean_intervention = 13.13) is the average amount (in U.S. dollars) participants in each group indicated they would donate out of a possible $50 bonus.",308,308,157,151,0,9.84,12.72,13.13,13.83,0.2478,0.0131,0,0.0234718685695147,0.4721281314304852
Hilton_1,Hilton et al. (2014),A tax can nudge: The impact of an environmentally motivated bonus/malus fiscal system on transport preferences,2014,0,environment,assistance,reminder,conventional_lab,1.0,"You are planning a trip from Toulouse to Paris for a job interview. You are presented with detailed travel options for both the train and the plane, including prices, schedules, and journey times. The train is significantly slower but cheaper, taking twice as long as the plane. The plane is much faster, saving you several hours, though it costs more.","You are planning a trip from Toulouse to Paris for a job interview. You are presented with detailed travel options for both the train and the plane, including prices, schedules, and journey times. The train is significantly slower but cheaper, taking twice as long as the plane. The plane is much faster, saving you several hours, though it costs more. Before you make your choice, you read the following message:“Scientific data have established that certain human activities emit greenhouse gases. According to some recognized experts, this is inducing dangerous climate change for the planet. An important part of these emissions is due to transport. The train is a travel mode that emits little CO2 while the plane is a travel mode that emits large quantities of CO2.”",Which mode of transport do you choose for your trip to Paris?,"Train (1), Plane (0)","The reported mean in the meta-analysis represents the proportion of participants in each group who chose the train (Train = 1, Plane = 0). For example, a mean of 0.302 means 30.2% chose the train in the control group, and a mean of 0.452 means 45.2% chose the train in the intervention group .",863,863,434,429,1,0.302,,0.452,,0.311,0.0047,0,0.1766316389276761,0.4453683610723238
Kesternich_1,Kesternich et al. (2019),The power of active choice: Field experimental evidence on repeated contribution decisions to a carbon offsetting program,2019,0,environment,structure,default,natural_field,1.0,"You are purchasing a long-distance bus ticket online. During the booking process, you have the opportunity to offset the CO₂ emissions caused by your travel. For a small additional fee, you can support climate projects that reduce emissions and protect our environment. This small gesture reflects a big value: responsibility, care, and commitment to future generations. If you choose not to contribute, this trip will add avoidable emissions to the atmosphere — something we can all help prevent. You can choose “Yes” to offset, “No” to decline, or simply ignore the option and continue booking your ticket without making a choice about offsetting.","You are purchasing a long-distance bus ticket online. During the booking process, you have the opportunity to offset the CO₂ emissions caused by your travel. For a small additional fee, you can support climate projects that reduce emissions and protect our environment. This small gesture reflects a big value: responsibility, care, and commitment to future generations. If you choose not to contribute, this trip will add avoidable emissions to the atmosphere — something we can all help prevent. To complete your booking, you are required to actively choose “Yes” to offset or “No” to decline. You cannot proceed until you make this choice.",Did you want to offset your emissions?,"Yes (1), No (0)","The reported mean in the meta-analysis table represents the proportion of participants who chose “Yes” (coded as 1) divided by the total number of participants in each group, producing the group’s average offset participation rate (e.g., Control mean = 0.177, Intervention mean = 0.265) .",9733,9733,4838,4895,1,0.177,,0.265,,0.213,0.0004,0,0.1738007203091989,0.2521992796908011
Klotz_1,Klotz et al. (2010),Unintended anchors: Building rating systems and energy performance goals for U.S. buildings,2010,1,environment,structure,default,artefactual_field,1.0,"You have just answered several questions about the benefits and incentives for achieving a 30% reduction in energy use in building design. Now, you are asked to set an energy performance goal for a large building project.","You have just answered several questions about the benefits and incentives for achieving a 90% reduction in energy use in building design. Now, you are asked to set an energy performance goal for a large building project.","What percentage energy use, compared to a standard baseline building, would you suggest as a target?",Open-ended numerical response: “__%” energy use reduction (0–100).,"The reported mean in the meta-analysis table is the average of the percentage energy reduction goals suggested by respondents in each group. For the control (30% anchor) group, the mean was 29% (SD = 17.6); for the intervention (90% anchor) group, the mean was 54% (SD = 20) .",76,52,20,32,0,29.0,17.6,54.0,20.0,1.3073,0.0977,0,0.6946740727149918,1.919925927285008
Klotz_2,Klotz et al. (2010),Unintended anchors: Building rating systems and energy performance goals for U.S. buildings,2010,1,environment,structure,default,artefactual_field,1.0,"You have just answered several questions about the benefits and incentives for reducing energy use in building design, without any specific percentage mentioned. Now, you are asked to set an energy performance goal for a large building project.","You have just answered several questions about the benefits and incentives for achieving a 90% reduction in energy use in building design. Now, you are asked to set an energy performance goal for a large building project.","What percentage energy use, compared to a standard baseline building, would you suggest as a target?",Open-ended numerical response: “__%” energy use reduction (0–100).,"The reported mean in the meta-analysis table is the average of the percentage energy reduction goals suggested by respondents in each group. For the control (no anchor) group, the mean was 40% (SD = 16.9); for the intervention (90% anchor) group, the mean was 54% (SD = 20) .",76,56,24,32,0,40.0,16.9,54.0,20.0,0.747,0.0779,0,0.1999628512321376,1.2940371487678624
Kuester_1,Kuester et al. (2015),The role of defaults in preventing innovation rejection,2015,0,environment,structure,default,artefactual_field,1.0,You are choosing a battery for your new digital camera. You are given the choice between the traditional rechargeable battery (which you have used before) and a new USB cell (an innovative battery that can be recharged via USB without a separate charger). No battery is pre-selected for you.,"You are choosing a battery for your new digital camera. The camera automatically comes with the new USB cell (an innovative battery that can be recharged via USB without a separate charger), but you can choose to switch to the traditional rechargeable battery if you prefer.",Which battery would you choose for your new digital camera?,"USB cell (innovation) = 1, Traditional rechargeable battery (status quo) = 0","The reported mean in the meta-analysis table represents the proportion of participants who chose the innovation (USB cell), calculated as the percentage of participants who selected the USB cell (coded as 1), out of the total in each group.",240,240,120,120,1,0.317,,0.9,,1.302,0.0202,0,1.0234367788489993,1.5805632211510008
Kuester_2,Kuester et al. (2015),The role of defaults in preventing innovation rejection,2015,0,environment,structure,default,conventional_lab,1.0,You are selecting a battery for a new lamp you have just received. You are given the option to choose between a traditional rechargeable battery (the familiar option) and a new USB cell (an innovative battery that charges via USB). No option is pre-selected for you.,"You are selecting a battery for a new lamp you have just received. The lamp automatically comes with the new USB cell (an innovative battery that charges via USB), but you can switch to a traditional rechargeable battery if you wish.",Which battery do you choose for your lamp?,"USB cell (innovation) = 1, Traditional rechargeable battery (status quo) = 0","The reported mean in the meta-analysis table is the proportion of participants who chose the innovation (USB cell), based on the binary coding (1 = USB cell, 0 = traditional battery) in each group.",65,65,34,31,1,0.5,,0.71,,0.4334,0.0631,0,-0.0589373351532456,0.9257373351532456
Larrick_1,Larrick & Soll (2008),The MPG illusion,2008,1,environment,information,translation,artefactual_field,1.0,"A town has 100 vehicles of Type A that get 15 miles per gallon (MPG) and 100 vehicles of Type B that get 34 MPG. Each vehicle is driven 10,000 miles per year. The town plans to replace some of the vehicles to reduce overall fuel consumption. You can choose to either replace the 100 Type A vehicles with new vehicles that get 19 MPG (option 1), or replace the 100 Type B vehicles with new vehicles that get 44 MPG (option 2). Please answer as an ordinary consumer, assuming you only judge which solution is more fuel-efficient based on the linear variation of MPG numbers, you often believe that the more MPG increases, the better.","A town has 100 vehicles of Type A that get 15 MPG (which equals 6.67 gallons per 100 miles) and 100 vehicles of Type B that get 34 MPG (2.94 gallons per 100 miles). Each vehicle is driven 10,000 miles per year. The town plans to replace some of the vehicles to reduce overall fuel consumption. You can choose to either replace the 100 Type A vehicles with vehicles that consume 5.26 gallons per 100 miles (option 1), or replace the 100 Type B vehicles with vehicles that consume 2.27 gallons per 100 miles (option 2).",Which option would you choose? ,"Please respond using a number: 1 = choose option 1, 0 = choose option 2.","The outcome is binary (1 = Option 1 chosen, 0 = Option 2 chosen). The reported means in the meta-analysis table reflect the proportion of participants who chose Option 1 in each condition.",171,171,78,93,1,0.25,,0.64,,0.8074,0.0255,0,0.4944188505233898,1.1203811494766105
Lofgren_1,Lofgren et al. (2012),Are experienced people affected by a pre-set default option: Results from a field experiment,2012,0,environment,structure,default,natural_field,1.0,"When you register online for the conference, you see an option asking if you want to pay a small fee to offset the CO₂ emissions from your flight. The option “No” is already selected for you, but you can choose to opt in if you wish.","When you register online for the conference, you see an option asking if you want to pay a fee to offset the CO₂ emissions from your flight.","Would you like to pay a small fee to offset the CO₂ emissions from your flight to the conference? Choose climate action today for a better tomorrow. One small action, one big step for the planet.","Yes (1), No (0)","The reported mean in the meta-analysis table is the proportion of participants who chose “Yes” (1). For example, a mean of 0.393 means 39.3% chose to compensate.",240,160,80,80,1,0.393,,0.468,,0.1516,0.0251,1,-0.1589166926260528,0.4621166926260528
Lofgren_2,Lofgren et al. (2012),Are experienced people affected by a pre-set default option: Results from a field experiment,2012,0,environment,structure,default,natural_field,1.0,"When you register online for the conference, you see an option asking if you want to pay a small fee to offset the CO₂ emissions from your flight. The option “No” is already selected for you, but you can choose to opt in if you wish.","When you register online for the conference, you see an option asking if you want to pay a fee to offset the CO₂ emissions from your flight. The option “Yes” is already selected for you, but you can choose to opt out if you wish.","Would you like to pay a small fee to offset the CO₂ emissions from your flight to the conference? Choose climate action today for a better tomorrow. One small action, one big step for the planet.","Yes (1), No (0)","The reported mean in the meta-analysis table is the proportion of participants who chose “Yes” (1). For example, a mean of 0.393 means 39.3% chose to compensate.",240,160,80,80,1,0.393,,0.432,,0.0792,0.025,1,-0.2306975161522808,0.3890975161522808
Marek_1,Marek (2018),Social learning under the labeling effect: Exploring travellers' behavior in social dilemmas,2018,0,environment,structure,composition,conventional_lab,1.0,"You are participating in an experiment about commuting choices, and you will receive a certain amount of token budget that can be freely used for public or private transportation. Your goal is to maximize your satisfaction score through commuting options. In this round, you have obtained a unified budget of 60 tokens, which can be used for any type of transportation. Public transportation costs 2 tokens per trip, while private transportation costs 4 tokens per trip. After this round, you will see how many times other team members have chosen public or private transportation, as well as the total carbon emissions of your group, which will reduce your personal satisfaction score.","You are participating in an experiment about commuting choices, and you will receive a certain amount of token budget that can be freely used for public or private transportation. Your goal is to maximize your satisfaction score through commuting options. In this round, you have obtained 50 universal tokens, plus 30 additional tokens that can only be used for public transportation. The 30 public-transportation-only tokens cannot be used for private transportation and will expire if unused. Public transportation costs 2 tokens per trip, while private transportation costs 4 tokens per trip. After this round, you will see how many times other team members have chosen public or private transportation, as well as the total carbon emissions of your group, which will reduce your personal satisfaction score. Using your full token budget effectively — especially the dedicated public transportation tokens — can help maximize your score while lowering emissions.",How many times do you want to choose public transportation for this round?,Please output a number (0 to 30).,"The reported mean in the meta-analysis table (“mean_control”, “mean_intervention”) reflects the average number of trips by public transportation chosen by participants in each group, aggregated over all rounds. This value comes from participants entering the number of trips each round, within the allowed budget and cost per trip.",120,120,60,60,0,10.27667,2.236351,11.76502,2.350689,0.6487,0.0351,0,0.2815008651884324,1.0158991348115678
McCaul_1,McCaul & Kopp (1982),Effects of goal setting and commitment on increasing metal recycling,1982,1,environment,assistance,commitment,framed_field,1.0,You are told about the importance of conserving energy and are asked to collect aluminum cans for recycling over the next two weeks. The cans you collect will be donated to charity. ,"You are told about the importance of conserving energy and are asked to collect aluminum cans for recycling over the next two weeks. The cans you collect will be donated to charity. In addition, you are asked to make a public commitment to the project: your name will appear in the campus newspaper, associated with an ad stating that you believe it is important to conserve energy.",How many aluminum cans did you collect during the two-week period?,Please output the number of cans you collected,The reported mean in the meta-analysis table (“mean_control” and “mean_intervention”) represents the average total number of cans collected by participants in each condition over the 14-day period. The outcome is a continuous count variable.,55,55,28,27,0,35.65,27.21,37.85,24.38,0.0851,0.0728,0,-0.4438,0.614
McCaul_2,McCaul & Kopp (1982),Effects of goal setting and commitment on increasing metal recycling,1982,1,environment,assistance,commitment,framed_field,1.0,You are told about the importance of conserving energy and are asked to collect aluminum cans for recycling over the next two weeks. The cans you collect will be donated to charity.,"You are told about the importance of conserving energy and are asked to collect aluminum cans for recycling over the next two weeks. The cans you collect will be donated to charity. In addition, you are given a specific goal: you are asked to try to collect four cans per day (a total of 56 cans over two weeks).",How many aluminum cans did you collect during the two-week period?,Please output the number of cans you collected,The reported mean in the meta-analysis table (“mean_control” and “mean_intervention”) represents the average total number of cans collected by participants in each condition over the 14-day period. The outcome is a continuous count variable.,65,65,37,28,0,27.56,26.81,45.57,35.44,0.5846,0.0654,0,0.0835,1.0857
Meng_1,Meng & Trudel (2017),Using emoticons to encourage students to recycle,2017,1,environment,assistance,reminder,conventional_lab,1.0,"You are asked to test a pair of scissors by cutting a sheet of paper along dotted lines. After completing a survey about the scissors, you leave the lab. In the hallway, you see two identical bins: one labeled “Trash” and one labeled “Recycling.”","You are asked to test a pair of scissors by cutting a sheet of paper along dotted lines. After completing a survey about the scissors, you leave the lab. In the hallway, you see two identical bins: one labeled “Trash” (with a large red frowny face sticker on the lid) and one labeled “Recycling” (with a large green smiling face sticker and the words “Thank you for recycling!”). A few sheets of paper are already visible in the Recycling bin.",Did you place the paper in the recycling bin or in the trash bin?,"Recycled (1), Trashed (0)","The reported mean in the meta-analysis table is the proportion of participants who recycled the paper in each condition, calculated as the number who placed the paper in the recycling bin divided by the total number of participants in the group.",192,192,96,96,1,0.46,,0.62,,0.3225,0.0211,1,0.0377987862395981,0.6072012137604019
Mertens_1,Mertens et al. (2020),"This way, please: Uncovering the directional effects of attribute translations on decision making",2020,0,environment,information,translation,artefactual_field,1.0,"Here are two washing machine options to choose from: Option A is priced at CHF 1,059, consumes 160 kWh of energy and 9,400 liters of water annually, and is ranked among the top 100 popular models. Option B is priced at CHF 669, consumes 220 kWh of energy and 11,200 liters of water annually, and is ranked among the top 50 popular models.	","Here are two washing machine options to choose from: Option A is priced at CHF 1,059, consumes 160 kWh of energy and 9,400 liters of water annually, and is ranked among the top 100 popular models. Option B is priced at CHF 669, consumes 220 kWh of energy and 11,200 liters of water annually, and is ranked among the top 50 popular models. Moreover, Option A has an environmental friendliness rating of five stars, while Option B has a rating of one star.","You want to keep costs low because you are on a tight budget, but you also want to consider the environmental impact of your purchase. Based on the information provided, which washing machine would you choose?","Please select one option and respond with only the corresponding number: output 1 for Option A, output 0 for Option B.","The reported mean in the meta-analysis table reflects the proportion of times the more energy- and water-efficient option was chosen (binary outcome: 1 = efficient, 0 = inefficient), averaged across all choices.",356,193,104,89,1,0.5053667,,0.7558494,,0.5264,0.0216,0,0.2383452994186813,0.8144547005813185
Mertens_2,Mertens et al. (2020),"This way, please: Uncovering the directional effects of attribute translations on decision making",2020,0,environment,information,translation,artefactual_field,1.0,"Here are two washing machine options to choose from: Option A is priced at CHF 1,059 (12 monthly installments of CHF 88), consumes 160 kWh of energy and 9,400 liters of water annually, and is ranked among the top 100 popular models. Option B is priced at CHF 669 (12 monthly installments of CHF 56), consumes 220 kWh of energy and 11,200 liters of water annually, and is ranked among the top 50 popular models.","Here are two washing machine options to choose from: Option A is priced at CHF 1,059 (12 monthly installments of CHF 88), consumes 160 kWh of energy and 9,400 liters of water annually, and is ranked among the top 100 popular models. Option B is priced at CHF 669 (12 monthly installments of CHF 56), consumes 220 kWh of energy and 11,200 liters of water annually, and is ranked among the top 50 popular models. Moreover, Option A has an environmental friendliness rating of five stars, while Option B has a rating of one star.","You want to keep costs low because you are on a tight budget, but you also want to consider the environmental impact of your purchase. Based on the information provided, which washing machine would you choose?","Please select one option and respond with only the corresponding number: output 1 for Option A, output 0 for Option B.","The reported mean in the meta-analysis table reflects the proportion of times the more energy- and water-efficient option was chosen (binary outcome: 1 = efficient, 0 = inefficient), averaged across all choices.",345,168,79,89,1,0.4976636,,0.7251521,,0.4718,0.0246,0,0.1643916608335494,0.7792083391664506
Mertens_3,Mertens et al. (2020),"This way, please: Uncovering the directional effects of attribute translations on decision making",2020,0,environment,information,translation,artefactual_field,1.0,"Here are two washing machine options to choose from: Option A is priced at CHF 1,059 (12 monthly installments of CHF 88), consumes 160 kWh of energy and 9,400 liters of water annually, and is ranked among the top 100 popular models. Option B is priced at CHF 669 (12 monthly installments of CHF 56), consumes 220 kWh of energy and 11,200 liters of water annually, and is ranked among the top 50 popular models.	","Here are two washing machine options to choose from: Option A is priced at CHF 1,059 (12 monthly installments of CHF 88), consumes 160 kWh of energy and 9,400 liters of water annually, and is ranked among the top 100 popular models. Option B is priced at CHF 669 (12 monthly installments of CHF 56), consumes 220 kWh of energy and 11,200 liters of water annually, and is ranked among the top 50 popular models. Moreover, Option A has estimated operating costs of CHF 1,199.25, while Option B has estimated operating costs of CHF 1,539.00.","You want to keep costs low because you are on a tight budget, but you also want to consider the environmental impact of your purchase. Based on the information provided, which washing machine would you choose?","Please select one option and respond with only the corresponding number: output 1 for Option A, output 0 for Option B.","The reported mean in the meta-analysis table reflects the proportion of times the more energy- and water-efficient option was chosen (binary outcome: 1 = efficient, 0 = inefficient), averaged across all choices.",345,164,79,85,1,0.4976636,,0.6220044,,0.2512,0.0246,0,-0.0562083391664505,0.5586083391664505
Mertens_4,Mertens et al. (2020),"This way, please: Uncovering the directional effects of attribute translations on decision making",2020,0,environment,information,translation,artefactual_field,1.0,"Here are two washing machine options to choose from: Option A is priced at CHF 1,059, consumes 160 kWh of energy and 9,400 liters of water annually, and is ranked among the top 100 popular models. Option B is priced at CHF 669, consumes 220 kWh of energy and 11,200 liters of water annually, and is ranked among the top 50 popular models.	","Here are two washing machine options to choose from: Option A is priced at CHF 1,059, consumes 160 kWh of energy and 9,400 liters of water annually, and is ranked among the top 100 popular models. Option B is priced at CHF 669, consumes 220 kWh of energy and 11,200 liters of water annually, and is ranked among the top 50 popular models. Moreover, Option A produces 112 kg of carbon emissions annually (low emissions), while Option B produces 155 kg (high emissions).","You want to keep costs low because you are on a tight budget, but you also want to consider the environmental impact of your purchase. Based on the information provided, which washing machine would you choose?","Please select one option and respond with only the corresponding number: output 1 for Option A, output 0 for Option B.","The reported mean in the meta-analysis table reflects the proportion of times the more energy- and water-efficient option was chosen (binary outcome: 1 = efficient, 0 = inefficient), averaged across all choices.",356,188,104,84,1,0.5053667,,0.572697,,0.1352,0.0216,0,-0.1528547005813186,0.4232547005813186
Mertens_5,Mertens et al. (2020),"This way, please: Uncovering the directional effects of attribute translations on decision making",2020,0,environment,information,translation,artefactual_field,1.0,"Here are two washing machine options to choose from: Option A is priced at CHF 1,059 (12 monthly installments of CHF 88), consumes 160 kWh of energy and 9,400 liters of water annually, and is ranked among the top 100 popular models. Option B is priced at CHF 669 (12 monthly installments of CHF 56), consumes 220 kWh of energy and 11,200 liters of water annually, and is ranked among the top 50 popular models.","Here are two washing machine options to choose from: Option A is priced at CHF 1,059 (12 monthly installments of CHF 88), consumes 160 kWh of energy and 9,400 liters of water annually, and is ranked among the top 100 popular models. Option B is priced at CHF 669 (12 monthly installments of CHF 56), consumes 220 kWh of energy and 11,200 liters of water annually, and is ranked among the top 50 popular models. Moreover, Option A produces 112 kg of carbon emissions annually (low emissions), while Option B produces 155 kg (high emissions).","You want to keep costs low because you are on a tight budget, but you also want to consider the environmental impact of your purchase. Based on the information provided, which washing machine would you choose?","Please select one option and respond with only the corresponding number: output 1 for Option A, output 0 for Option B.","The reported mean in the meta-analysis table reflects the proportion of times the more energy- and water-efficient option was chosen (binary outcome: 1 = efficient, 0 = inefficient), averaged across all choices.",345,171,79,92,1,0.4976636,,0.5621891,,0.1294,0.0236,0,-0.1716953805165089,0.4304953805165089
Mertens_6,Mertens et al. (2020),"This way, please: Uncovering the directional effects of attribute translations on decision making",2020,0,environment,information,translation,artefactual_field,1.0,"Here are two washing machine options to choose from: Option A is priced at CHF 1,059, consumes 160 kWh of energy and 9,400 liters of water annually, and is ranked among the top 100 popular models. Option B is priced at CHF 669, consumes 220 kWh of energy and 11,200 liters of water annually, and is ranked among the top 50 popular models.","Here are two washing machine options to choose from: Option A is priced at CHF 1,059, consumes 160 kWh of energy and 9,400 liters of water annually, and is ranked among the top 100 popular models. Option B is priced at CHF 669, consumes 220 kWh of energy and 11,200 liters of water annually, and is ranked among the top 50 popular models. Moreover, Option A has estimated operating costs of CHF 1,199.25, while Option B has estimated operating costs of CHF 1,539.00.","You want to keep costs low because you are on a tight budget, but you also want to consider the environmental impact of your purchase. Based on the information provided, which washing machine would you choose?","Please select one option and respond with only the corresponding number: output 1 for Option A, output 0 for Option B.","The reported mean in the meta-analysis table reflects the proportion of times the more energy- and water-efficient option was chosen (binary outcome: 1 = efficient, 0 = inefficient), averaged across all choices.",356,183,104,79,1,0.5053667,,0.534279,,0.0579,0.0223,0,-0.2347850383970438,0.3505850383970438
Nelson_1,Nelson et al. (2019),Nudging tourists to donate for conservation: Experimental evidence on soliciting voluntary contributions for coastal management,2019,0,environment,structure,default,framed_field,1.0,"As part of our shared commitment to marine conservation, a small recommended donation of Rp.10,000 (approximately only $0.75 USD) to the Gili Eco Trust Foundation can be included to help protect the reefs and wildlife of Gili Trawangan and offset the environmental impact of your dive. You can check the box if you want to donate.","As part of our shared commitment to marine conservation, a small recommended donation of Rp.10,000 (approximately only $0.75 USD) to the Gili Eco Trust Foundation will be included to help protect the reefs and wildlife of Gili Trawangan and offset the environmental impact of your dive. You may uncheck the box if you prefer not to donate.",Did you make a donation?,"Yes (1), No (0)","The reported mean is the proportion of participants who made a donation (i.e., the fraction who did not check the opt-out box and thus donated the default amount). The binary outcome is 1 if you donated, 0 otherwise.",275,275,146,129,1,0.48,,0.68,,0.4083,0.0149,0,0.169055906178768,0.647544093821232
Nelson_2,Nelson et al. (2019),Nudging tourists to donate for conservation: Experimental evidence on soliciting voluntary contributions for coastal management,2019,0,environment,structure,default,framed_field,1.0,"As part of our shared commitment to marine conservation, a small recommended donation of Rp.50,000 (approximately only $3.75 USD) to the Gili Eco Trust Foundation can be included to help protect the reefs and wildlife of Gili Trawangan and offset the environmental impact of your dive. You can check the box if you want to donate.","As part of our shared commitment to marine conservation, a small recommended donation of Rp.50,000 (approximately only $3.75 USD) to the Gili Eco Trust Foundation will be included to help protect the reefs and wildlife of Gili Trawangan and offset the environmental impact of your dive. You may uncheck the box if you prefer not to donate.",Did you make a donation?,"Yes (1), No (0)","The reported mean is the proportion of participants who made a donation (i.e., the fraction who did not check the opt-out box and thus donated the default amount). The binary outcome is 1 if you donated, 0 otherwise.",264,264,127,137,1,0.19,,0.32,,0.3005,0.0153,0,0.0580658440800469,0.5429341559199531
Nelson_3,Nelson et al. (2019),Nudging tourists to donate for conservation: Experimental evidence on soliciting voluntary contributions for coastal management,2019,0,environment,structure,default,framed_field,1.0,"As part of our shared commitment to marine conservation, a small recommended donation of Rp.20,000 (approximately only $1.5 USD) to the Gili Eco Trust Foundation can be included to help protect the reefs and wildlife of Gili Trawangan and offset the environmental impact of your dive. You can check the box if you want to donate.","As part of our shared commitment to marine conservation, a small recommended donation of Rp.20,000 (approximately only $1.5 USD) to the Gili Eco Trust Foundation will be included to help protect the reefs and wildlife of Gili Trawangan and offset the environmental impact of your dive. You may uncheck the box if you prefer not to donate.",Did you make a donation?,"Yes (1), No (0)","The reported mean is the proportion of participants who made a donation (i.e., the fraction who did not check the opt-out box and thus donated the default amount). The binary outcome is 1 if you donated, 0 otherwise.",198,198,101,97,1,0.45,,0.59,,0.2812,0.0204,0,0.0012611496377107,0.5611388503622893
Pichert_1,Pichert & Katsikopoulos (2008),Green defaults: Information presentation and pro-environmental behaviour,2008,0,environment,structure,default,conventional_lab,1.0,"You live in a city where electricity is provided by a traditional (grey) energy supplier, which primarily uses fossil fuels and nuclear energy for power generation. You have the opportunity to switch to green electricity (using renewable energy), but monthly electricity bills will increase. May I ask how much more euros are you willing to pay per month to use green electricity?","You currently default to using green electricity (using renewable energy). If you choose to switch back to traditional grey power supply, you will give up the environmental benefits and related benefits brought by green power. May I ask how much cheaper is the monthly price of grey electricity compared to green electricity in order for you to give up green electricity and switch?",Please output a number.,in euros.,The reported mean in the meta-analysis table (“mean_control” and “mean_intervention”) reflects the average amount (in euros) participants were willing to pay (WTP) or accept (WTA) among those who provided a numerical value. “Control” refers to WTP (starting with grey by default); “Intervention” refers to WTA (starting with green by default).,65,65,41,24,0,6.59,5.53,13.0,7.34,1.0253,0.0741,0,0.4917720264002696,1.5588279735997306
Pichert_2,Pichert & Katsikopoulos (2008),Green defaults: Information presentation and pro-environmental behaviour,2008,0,environment,structure,default,conventional_lab,1.0,"You live in a city where electricity is provided by a traditional (grey) energy supplier, which primarily uses fossil fuels and nuclear energy for power generation. You have the opportunity to switch to green electricity, which is the supply of renewable energy generation, but the monthly cost will be higher.","You live in a city where electricity is provided by a green energy supplier by default, which uses renewable energy to generate electricity. You can choose to switch back to traditional (grey) electricity, which will result in lower monthly costs, but you will give up green energy supply.",Would you prefer to use green power or grey power?,"Green power (1), gray power (0)","The reported mean in the meta-analysis table for this row is the proportion of participants choosing the green option (coded as 1 for choosing green, 0 for choosing grey). Thus, “mean_control” is the proportion who chose green when grey was the default; “mean_intervention” is the proportion who chose green when green was the default.",152,152,75,77,1,0.4133,,0.6753,,0.5325,0.0273,0,0.2086608025501705,0.8563391974498294
